"favorite_key","favorite_name","region","counties","scenario","source_type","system_or_category","sites_or_coverage","departments_or_channels","mode","monitorability","upgrade_required","source_url","notes"
"FL10","Metro-Snohomish Sno911","Western WA","Snohomish","Public safety","trunked P25 Phase II","Sno911 SID 13041 (SysID 3AA)","South Simulcast, North Simulcast, Index, Skykomish, Darrington","Fire dispatch by area + Fire Tac1-3+; Sheriff SAR TG101 (unencrypted); Interop IO-02 to IO-15; Sheriff dispatch/tac + municipal PD","P25 Phase II","Fire/EMS/SAR clear; law enforcement encrypted","None (P25 native)","https://www.radioreference.com/db/sid/13041","SAR TG101 explicitly unencrypted - notable exception"
"FL11","Metro-Pierce SS911/PSRS","Western WA","Pierce","Public safety","trunked P25 Phase II","SS911 SID 5480 + PSRS SID 8203","SS911: Tacoma/Orting/South/West Seattle border/Buckley","Central Pierce Fire & Rescue dispatch; district Fire TGs; PCSO dispatch(mixed)/tactical(enc); Tacoma PD(enc); Bonney Lake/Buckley PD(enc)","P25 Phase II","Fire/EMS clear; law trending encrypted","None (P25 native)","https://www.radioreference.com/db/sid/5480","Import both SIDs; Orting/Buckley PD dispatch on PCSO West TG40107"
"FL12","SW-WA Clark/Skamania CRESA","Western WA","Clark, Skamania","Public safety","trunked P25 Phase II","CRESA 911 SID 9025 (SysID 860)","Washougal River, Rainier Hill, Cascade Locks, Nicolai Mtn, Speelyai, Skamania Mtn","Clark Co Fire dispatch; Fire Ops50-59; Camas-Washougal Fire Tac; REDNET; AMR EMS dispatch; CCSO/Vancouver PD/all municipal PD","P25 Phase II","Fire/EMS clear; 100% law enforcement encrypted","None (P25 native)","https://www.radioreference.com/db/sid/9025","Total LE blackout as of 2025; Skamania also receives WSP + Oregon State Radio Project"
"FL13","Thurston/Mason TCERN + conventional","Western WA","Thurston, Mason","Public safety","trunked P25 Phase II + conventional","TCERN SID 12945 (SysID AFD) + Mason conventional","North Thurston, South Thurston, SE County simulcast sites","Thurston Fire/EMS(verify); Thurston Sheriff(likely enc); Mason Sheriff 460.225/460.5125; Mason Fire Dist5 154.190; REDNET 153.830","P25 Phase II + FM","Verify per-TG; Mason conventional mostly clear","None (P25 native)","https://www.radioreference.com/db/sid/12945","Encryption breakdown not fully published for TCERN"
"FL14","Kitsap/Jefferson Kitsap 911","Western WA","Kitsap, Jefferson","Public safety","trunked P25 Phase II + conventional","Kitsap 911 SID 13277 (SysID C5F, WACN 92A97) + Jefferson conventional","Simulcast (Kitsap), Port Ludlow (N Jefferson/Hood Canal)","Fire/EMS(likely clear); Sheriff/Bremerton PD/Port Orchard PD(likely enc); Kitsap Transit DMR(clear,upgrade req.); Jefferson Sheriff 453.575; Brinnon Fire 154.0925; Olympic Ambulance EMS 462.950","P25 Phase II + DMR + FM","Newer system - verify per-TG","DMR upgrade for Kitsap Transit","https://www.radioreference.com/db/sid/13277","Recent P25 cutover; encryption breakdown not fully verified"
"FL15","Boeing/Port of Seattle P25","Western WA","King","Industrial/port","trunked P25 Phase I/II","Boeing SID 7665 + Port of Seattle SID 11481","Boeing: Renton/Seattle/Auburn/Puyallup-Fredrickson/Sea-Tac/Everett","Boeing business/maintenance(clear); Boeing security(likely enc); Port of Seattle police/fire/maintenance","P25 Phase I/II","Ops/maint clear; security likely encrypted","None (P25 native)","https://www.radioreference.com/db/sid/7665","Not public safety - industrial/facility monitoring"
"FL16","NW-WA Skagit/Island/San Juan","Western WA","Skagit, Island, San Juan","Public safety","conventional","County conventional (no countywide trunked)","Three independent counties","Skagit Sheriff 155.8425/453.400(P25); Fire 154.430/154.265; Island Sheriff 453.050; Oak Harbor PD 460.575; San Juan SJCSO 453.250; Orcas/SJI/Lopez Fire","FM + some P25 conventional","Full - unencrypted","None","https://www.radioreference.com/db/browse/ctid/2986","JIWN and WSDOT P25 pass through but no local trunked network"
"FL17","Whatcom County","Western WA","Whatcom","Public safety","conventional + trunked NXDN","County conventional + WTA NXDN SID 2704","No single countywide P25 network as of research date","Sheriff/Bellingham PD shared 453.325; Sheriff rural 155.610; Bellingham PD tac 154.025; countywide fire 154.430; WTA transit NXDN","FM + NXDN","Public safety clear; WTA transit needs NXDN upgrade","NXDN upgrade for WTA","https://www.radioreference.com/db/browse/ctid/2994","Legacy LTR system (SID2704) migrated to NXDN, now transit-only"
"FL18","Olympic Peninsula Clallam County","Western WA","Clallam","Public safety","conventional","County conventional (no countywide trunked)","Port Angeles/Sequim/Forks/La Push area","Sheriff/Forks/La Push West Disp 453.375; East Tac 453.275; Sequim PD 453.300; Port Angeles PD 460.100; Fire Dist2 155.820; Sequim Fire 155.7825","FM","Full - unencrypted","None","https://www.radioreference.com/db/browse/ctid/2962","Wiztronics NXDN entries are private/utility, not public safety"
"FL19","SW-Rural Lewis/GraysHarbor/Pacific/Wahkiakum/Cowlitz","Western WA","Lewis, Grays Harbor, Pacific, Wahkiakum, Cowlitz","Public safety","conventional + NXDN","5 independent county conventional systems","No countywide P25 trunked system in any of the five","Lewis Sheriff 155.625/Fire154.190; Grays Harbor Sheriff154.725/155.565; Pacific Sheriff460.075/460.225; Wahkiakum Sheriff150.8525+P25tac154.800; Cowlitz Sheriff154.815/Fire154.235+NXDN","FM + NXDN + P25 conventional","Full - unencrypted","NXDN upgrade for Cowlitz Fire digital ch.","https://www.radioreference.com/db/browse/ctid/2965","Cowlitz Fire uses NXDN48 RAN42 patched channels 154.3175/154.1825"
"FL20a","Spokane Regional SREC Fire/EMS/Law-Disp","Eastern WA","Spokane","Public safety","trunked P25 Phase I","SREC SID 6690 (SysID 447, WACN BEE00)","11 sites: Simulcast,EWU,Tekoa,Williams Lake,Booth,Coe Road,Scoop,Hoodoo,Mt.Spokane,Upper Mica,Jail","Law dispatch(SPD North/South,SCSO North2/Valley1); Fire dispatch/ops; mutual aid SRMA1-4","P25 Phase I","Clear - law dispatch, fire, EMS, mutual aid","None (P25 native)","https://www.radioreference.com/db/sid/6690","Deprecated SID 8853 - do not use; use 6690"
"FL20b","Spokane Regional SREC Law Tactical","Eastern WA","Spokane","Public safety","trunked P25 Phase I","SREC SID 6690","Same 11 sites as FL20a","SPD Tac4; LOPS11-15; INV1-4 investigations","P25 Phase I","Encrypted - law tactical/investigations","None (P25 native)","https://www.radioreference.com/db/sid/6690","Cannot be decoded"
"FL21","Tri-Cities Benton/Franklin 800","Eastern WA","Benton, Franklin","Public safety","trunked P25 Phase I","Benton Co 800 SID 6768 (SysID 34A)","Simulcast + Golgotha Butte IR","Fire dispatch/Med Ops3-5(clear); Med Ops6(enc); Sheriff dispatch(clear)/warrant-tac(verify); Hanford/DOE(likely enc)","P25 Phase I","Fire/EMS/Law dispatch clear; Med Ops6 + Hanford encrypted","None (P25 native)","https://www.radioreference.com/db/sid/6768","Energy Northwest nuclear facility expected encrypted"
"FL22","Yakima Valley Yakima/Kittitas","Eastern WA","Yakima, Kittitas","Public safety","conventional + NXDN migration","County conventional, no countywide trunked P25","YCOM/Kittitas dispatch centers","Yakima Fire154.2575/155.0325;Sheriff154.1375/155.730;AMR/ALS155.220/155.400;NXDN ALS153.620(RAN14); Kittitas Fire154.205;Sheriff155.5575","FM + NXDN48","Mostly clear analog; NXDN ALS dispatch verify","NXDN upgrade for YCSO ALS dispatch","https://www.radioreference.com/db/browse/ctid/2996","YCSO mid-migration to NXDN; also carries Justice IWN, WSDOT P25, WSP D6"
"FL23","Wenatchee/RiverCom Chelan/Douglas","Eastern WA","Chelan, Douglas","Public safety","conventional","RiverCom 911 consolidated dispatch, no countywide P25","Wenatchee metro, Lake Chelan corridor","Fire1/2 dispatch154.430/155.685(shared); Tac colors Gold/Silver/Grey/Orange/Green; Chelan law disp155.625; Douglas law disp155.415","FM","Full - unencrypted","None","https://www.radioreference.com/db/browse/ctid/2961","Also carries WSDOT P25 (Blag Mtn/Burch Mtn) and WSP D6"
"FL24","Okanogan County","Eastern WA","Okanogan","Public safety","conventional","County conventional multi-zone, no countywide trunked","4 sheriff geographic zones","Sheriff Omak/mid-valley155.730; Oroville/Tonasket155.640; Brewster/Pateros156.240; Twisp/Winthrop155.190; Tac dual P25 153.7475; Fire OCFD154.415","FM + P25 conventional","Full - unencrypted","None","https://www.radioreference.com/db/browse/ctid/2981","Also carries WSDOT P25 (Aeneas Lookout/Bodie Mtn) and WSP D6"
"FL25a","Grant County MACC 911 Fire/EMS","Eastern WA","Grant","Public safety","trunked P25 Phase I","MACC 911 SID 6979 (SysID 29B, WACN 92768)","Simulcast, Grant County, Vantage sites","Fire Emergency; Fire1/2 Dispatch; North/South/East/West Tac1; AMR EMS Dispatch; EMS Common","P25 Phase I","Clear - all fire/EMS talkgroups","None (P25 native)","https://www.radioreference.com/db/sid/6979","Also carries WSDOT P25 (Beezley Hill/Beverly-Mattawa) and Justice IWN"
"FL25b","Grant County MACC 911 Law","Eastern WA","Grant","Public safety","trunked P25 Phase I","MACC 911 SID 6979","Same sites as FL25a","All law enforcement talkgroups","P25 Phase I","Fully encrypted","None (P25 native)","https://www.radioreference.com/db/sid/6979","No law enforcement audio available"
"FL26","NE Highlands Stevens/PendOreille/Ferry","Eastern WA","Stevens, Pend Oreille, Ferry","Public safety","conventional + P25 digital","3 county conventional, no countywide trunked","Colville, Newport, Republic areas","Stevens Sheriff153.965(dual P25 NAC200);Fire N/S154.400/154.415; Pend Oreille Sheriff155.3100+P25 fire chs; Ferry Sheriff A/B156.090/155.250;Republic Fire153.845","FM + P25 conventional","Full - unencrypted","None","https://www.radioreference.com/db/browse/ctid/2990","Ferry County data comparatively sparse - lower confidence"
"FL27","SE Washington WallaWalla/Columbia/Garfield/Asotin/Whitman","Eastern WA","Walla Walla, Columbia, Garfield, Asotin, Whitman","Public safety","conventional","5 independent county conventional systems","Palouse & valleys region","WW Fire154.430/Sheriff155.250; Columbia CCSO155.145/CCFD3 153.875; Garfield GCSO156.150(dual P25); Asotin ACSO155.190; Whitman WCSO154.785/Pullman Fire154.145","FM + P25 conventional","Full - low encryption","None","https://www.radioreference.com/db/browse/ctid/2993","Also carries WSDOT P25 South Central and WSP D4"
"FL28","S-Central WA Klickitat County","Eastern WA","Klickitat","Public safety","conventional","County conventional","Goldendale/White Salmon area","Countywide fire dispatch154.130(PL162.2); Fire Tac1-3 154.070/154.355/154.400; SAR 154.1075(DCS-565); Sheriff153.845; Goldendale PD alt154.025","FM + digital PL(DCS)","Full - unencrypted","None","https://www.radioreference.com/db/browse/ctid/2977","SAR channel uses DCS-565 digital code, not analog PL"
"FL29","Adams/Lincoln Counties","Eastern WA","Adams, Lincoln","Public safety","conventional + P25 digital","2 county conventional with digital law dispatch","Ritzville/Othello/Davenport/Odessa area","Adams Fire158.970;ACSO Law1(Ritzville)158.760 P25NAC100;ACSO Law2(Othello)158.805 P25NAC114;Othello PD155.595 P25NACA21; Lincoln Sheriff156.030;Odessa PD158.730/158.940;Fire E/W154.205(diff PL)","FM + P25 conventional","Full - very low encryption","None","https://www.radioreference.com/db/browse/ctid/2958","Lincoln Fire East/West share 154.205 MHz with different PL tones"
"FL30","Statewide E/C Rollup","Eastern/Central WA","All eastern/central counties","Interop","trunked P25 + conventional","WSP D4/D6 + WSDOT NC/SC + DNR + Mutual Aid (reuses FL4/5/6/1)","Statewide, eastern-WA site filters","See FL01, FL04, FL05, FL06 for detail","P25 Phase II + FM","Generally clear","None (P25 native)","https://www.radioreference.com/db/sid/7971","Add these system-wide entries to every eastern-WA regional FL rather than duplicating imports"
"FL32","Olympic Peninsula ONP+ONF","Mountain/Outdoor","Clallam, Jefferson, Mason, Grays Harbor","Mountain/wildland","conventional","NPS/USFS conventional + county tie-in","Olympic NP + Olympic NF","ONP Main168.525;ONP Maint168.350;ONF West/East164.825/164.800;WA SAR155.160;WSP D8 154.770","FM","Mostly clear","None","https://www.radioreference.com/db/aid/2373","Ties to FL18 Clallam conventional; NOAA KXI27 Forks / KIH36 Neah Bay"
"FL33","North Cascades/Mt Baker","Mountain/Outdoor","Whatcom, Skagit, Snohomish","Mountain/wildland","conventional + trunked","MBSNF/NOCA conventional + Sno911 SAR","Mt Baker-Snoqualmie NF, North Cascades NP","MBSNF Mt Baker169.925;Darrington170.525;NOCA Common168.6125/163.7125;NOCA LE169.7250;Sno SAR155.415(PL127.3)","FM + P25","Mostly clear","None","https://www.radioreference.com/db/subcat/80208","Ties to FL17 Whatcom and FL10 Sno911 SAR TG101"
"FL34","Mountain Loop/US-2/Stevens Pass","Mountain/Outdoor","Snohomish, King, Chelan","Mountain/wildland","conventional + trunked","MBSNF conventional + Sno911","Skykomish/Darrington Ranger Districts, Stevens Pass corridor","MBSNF Skykomish169.575;Darrington170.525;Sno SAR155.415;WSP NW154.755","FM + P25","Mostly clear","None","https://forums.radioreference.com/threads/snoqualmie-pass.481423/","Stevens Pass ski patrol freq not published (Discovery only)"
"FL35","I-90/Snoqualmie Pass/Alpine Lakes","Mountain/Outdoor","King, Kittitas","Mountain/wildland","conventional + trunked P25","MBSNF conventional + PSERN","North Bend/Enumclaw Ranger Districts, Alpine Lakes Wilderness","MBSNF NB/Enum169.900;KC SAR F-2/F-3 154.965/153.755;KC MARS155.190;PSERN SAR TGs(clear,law enc); NWAC/SPART FRS Ch7 462.7125(CTCSS71.9,legal transmit)","FM + P25 Phase II","Mostly clear; PSERN law encrypted","None (P25 native)","https://nwac.us/backcountry-radio-channels/","NWAC/SPART backcountry FRS is legal party-to-party, not monitored by SAR/ski patrol"
"FL36","Central Cascades/Enchantments/Wenatchee","Mountain/Outdoor","Chelan, Kittitas","Mountain/wildland","conventional + trunked","WenNF conventional + RiverCom","Wenatchee/Okanogan NF, Enchantment Wilderness","WenNF Main171.500;Badger173.050;Chelan Fire154.430/155.685","FM + P25","Mostly clear","None","https://www.radioreference.com/db/browse/ctid/2961","Ties to FL23 RiverCom; NOAA WXM48 Wenatchee"
"FL37","Mount Rainier NP/Crystal Mountain","Mountain/Outdoor","Pierce, Lewis, Yakima","Mountain/wildland","conventional","NPS Rainier + MBSNF Enumclaw","MORA site-switched repeaters: Paradise,Tatoosh,Gobblers Knob,Crystal,Sunrise,Fremont,Tolmie","MORA Main/LE169.7250;Common1/2 168.6125/163.7125;Admin163.0650;MBSNF Enumclaw169.900","FM","Mostly clear","None","http://www.interceptradio.com/wiki/index.php/Mount_Rainier_National_Park","Crystal Mtn ski patrol not published (Discovery only)"
"FL38","Goat Rocks/White Pass/US-12","Mountain/Outdoor","Yakima, Lewis","Mountain/wildland","conventional","GPNF conventional","Goat Rocks Wilderness, William O.Douglas Wilderness","GPNF North171.425;WA SAR155.160;WSP Tac155.970","FM","Mostly clear","None","https://www.radioreference.com/db/browse/ctid/2996","White Pass ski area not published (Discovery only)"
"FL39","Mt St Helens/Mt Adams/Gifford Pinchot","Mountain/Outdoor","Skamania, Cowlitz, Klickitat","Mountain/wildland","conventional","GPNF conventional + county tie-in","GPNF west/east/north zones, Mt St Helens NVM","GPNF West/MSH172.225;East/Adams172.325;North171.425;digital link406.425(NAC555);Skamania Sheriff453.675/Fire460.625","FM + P25 digital link","Mostly clear","None","https://www.radioreference.com/db/browse/ctid/2987","USGS volcano telemetry not on scannable voice; ties to FL19 Cowlitz"
"FL40","Okanogan/Pasayten/Methow","Mountain/Outdoor","Okanogan","Mountain/wildland","conventional","Okanogan-Wenatchee NF (Methow Valley RD)","Pasayten Wilderness, Methow Valley","OkaNF Methow172.350;regional171.500;WA SAR155.160","FM","Mostly clear","None","https://www.radioreference.com/db/browse/ctid/2981","Ties to FL24 Okanogan; NOAA WWF49 Okanogan"
"FL41","NE Highlands/Selkirks/Colville NF","Mountain/Outdoor","Stevens, Pend Oreille, Ferry","Mountain/wildland","conventional","Colville NF conventional","Salmo-Priest Wilderness, Little Pend Oreille NWR","ColNF East/West171.475/170.550;Fire Tac168.000;Central172.375;Tonasket RD170.475","FM","Mostly clear","None","https://www.radioreference.com/db/browse/ctid/2990","Ties to FL26; NOAA KZZ73 Dayton / WXL86 Spokane"
"FL42","Blue Mountains/Umatilla NF/SE WA","Mountain/Outdoor","Walla Walla, Columbia, Garfield, Asotin","Mountain/wildland","conventional","Umatilla NF (WA portion) conventional","Blue Mountains WA/OR border","USFS R6 Pomeroy164.825(unverified)","FM","Sparse data - lower confidence","None","https://www.radioreference.com/db/browse/ctid/2993","Umatilla NF straddles OR/WA; some OR repeaters may serve WA side"
"FL43","Columbia Gorge/White Salmon/Klickitat","Mountain/Outdoor","Klickitat, Skamania","Mountain/wildland","conventional","GPNF conventional + county tie-in","Columbia River Gorge National Scenic Area","GPNF East172.325;Skamania Sheriff453.675;Fire460.625","FM","Mostly clear","None","https://www.radioreference.com/db/browse/ctid/2987","Ties to FL28 Klickitat; NOAA WXK27/WWH27"
"FL44","Rescue/SAR Aviation","Statewide","All 39 counties","Aviation/SAR","conventional","SAR aviation calling/coordination","Statewide, no location control","GUARD121.500(AM);SAR Air123.100(AM);Marine-16 156.800(FM);USFS Air Guard168.625(FM);Flight Following168.650(FM);HEAR155.340(FM)","AM + FM","Full - unencrypted","None","https://www.radioreference.com/db/aid/2373","National distress/SAR aviation calling channels"
"FL45","Ski Areas Statewide","Mountain/Outdoor","Pierce,Chelan/King,Kittitas,Yakima,Whatcom,Spokane,Chelan","Discovery (unpublished)","discovery target","7 major resorts: Crystal Mtn,Stevens Pass,Snoqualmie/Summit,White Pass,Mt Baker,49 North,Mission Ridge","Resort operational areas, Dec-Apr season","No published frequencies for any of the 7 resorts; private business VHF/UHF or DMR assumed","Unknown - Discovery only","Not monitorable without on-site Discovery","Unknown","N/A","Run Close Call/Discovery 150-174MHz and 450-470MHz on-site"
"FL46","Civil Aviation Western WA","Aviation","King, Snohomish, Thurston, Whatcom, Clallam","Aviation","conventional AM","Towered + uncontrolled airports","KSEA,KBFI,KPAE,KOLM,KBLI + uncontrolled fields","KSEA Tower119.9/120.95,ATIS118.0,Ground121.7;KBFI Tower118.3/120.6;KPAE ATIS132.95,Tower120.2;uncontrolled CTAF 122.8 default","AM","Full - unencrypted, no digital","None","https://www.airnav.com","SDS150 fully receives civil AM aviation band"
"FL47","Civil Aviation Eastern WA","Aviation","Spokane, Yakima, Franklin, Chelan, Whitman, Walla Walla","Aviation","conventional AM","Towered airports eastern WA","KGEG,KYKM,KPSC,KEAT,KPUW,KALW","KGEG ATIS124.325,Tower118.3,Approach123.75/133.35(shared Fairchild);others per-airport ATIS/Tower/Ground","AM","Full - unencrypted","None","https://www.globalair.com","Spokane Approach serves as shared TRACON for several fields"
"FL48","ARTCC Seattle Center (ZSE) & FSS","Aviation","Statewide airspace","Aviation","conventional AM","Seattle Center en-route + Flight Service","RCAG sites across WA, Areas A-D","ZSE-1191 119.1;ZSE-1203 120.3;ZSE-12485 124.85;ZSE-1258 125.8;ZSE-1261 126.1;Mt Vernon RCAG 126.3;ZSE-1283 128.3;ZSE-1285 128.5;Yakima RCAG 132.6;ZSE-13365 133.65;Yakima UHF 269.35;FSS Seattle Radio 122.2;Civil Guard 121.5;Military Guard 243.0","AM","Full - unencrypted","None","https://www.radioreference.com/db/aid/2235","One frequency will be active over your location at any given time"
"FL49","Military Aviation","Aviation","Pierce, Island, Spokane","Aviation/Military","conventional AM","McChord/JBLM, NAS Whidbey, Fairchild, CAP","KTCM,KNUW,Fairchild AFB","McChord ATIS109.6/270.1,Tower124.8/259.3;NAS Whidbey Tower127.9,Approach118.2/120.7;CAP Seattle148.125(FMN+P25 NAC4CE);common mil Guard243.0","AM + P25 (CAP)","Full - unencrypted (mostly)","None","https://www.radioreference.com/db/aid/6333","NAS Whidbey EA-18G/EP-3E generate heavy 225-400MHz UHF traffic during workups"
"FL50a","JBLM ACE LMR (Army P25) - Support/Logistics","Military","Pierce, Yakima (YTC)","Military","trunked P25 Phase II","ACE LMR SID 8217 (SysID 98D)","Davis Hill,Donovan Hill,Perimeter Road,Wescott Hills,Yakima Training Center","Logistics/support/fire/range talkgroups","P25 Phase II","Likely clear for logistics/support","None (P25 native)","https://www.radioreference.com/db/sid/8217","Append from Sentinel; some RR web details may require Premium"
"FL50b","JBLM ACE LMR (Army P25) - Command/Security","Military","Pierce, Yakima (YTC)","Military","trunked P25 Phase II","ACE LMR SID 8217","Same sites as FL50a","Command and security talkgroups","P25 Phase II","Likely encrypted","None (P25 native)","https://www.radioreference.com/db/sid/8217","Range control also reachable conventionally: 40.2/165.0875/173.5125 FM"
"FL51","Amateur Satellites/ISS/ARISS","Aviation/Amateur","Statewide (overhead)","Amateur/hobby","conventional FM","ISS + FM amateur satellites","Overhead passes, statewide","ISS voice/SSTV145.800;APRS downlink145.825(carrier-only);cross-band repeater437.800;SO-50 436.795;AO-91 145.960;TEVEL436.400","FM","Full - unencrypted (APRS carrier-only)","None","https://www.ariss.org/current-status-of-iss-stations.html","AO-92(145.880) decommissioned - do not program; use pass-prediction app"
"FL52","USCG & Marine VHF","Marine","Statewide waters","Marine","conventional FM + trunked P25","Marine VHF channels + USCG P25 nets","Puget Sound, coastal, Columbia River","Ch16 156.800(distress);Ch13 156.650;Ch22A 157.100;Ch5A 156.250;Ch14 VTS 156.700;Ch6 156.300;Ch67 156.375;Ch79A 156.975;Ch78A 156.925;Ch07A 156.350;USCG P25 NAC293 nets;USCG Air1-4 326.150/379.050/345.000/237.900 (AM);USCG Auxiliary1-2 143.475/150.700","FM + P25 (NAC293)","Full for marine VHF; USCG P25 part-time encrypted","None (P25 native)","https://www.radioreference.com/db/aid/7760","Import whole Coast Guard agency via Sentinel for full P25 net list"
"FL53","WA State Ferries & Puget Sound VTS","Marine","Puget Sound counties","Marine/transportation","conventional FM","WSF ops + VTS Seattle Traffic","Puget Sound ferry routes and terminals","WSF Deck-Shore 151.040;WSDOT V1-3 151.070/151.025/156.120;Ch14 VTS 156.700;Ch16 Distress 156.800;Ch79A 156.975;Ch78A 156.925","FM","Full - unencrypted","None","https://www.radioreference.com/db/aid/2299","Append current published entries from Sentinel; RR Premium is optional"
"FL54","Ports & Commercial Marine","Marine","King, Pierce","Marine/industrial","conventional FM + trunked P25","Port ops channels + Port of Seattle P25","Seattle/Tacoma port facilities","Ch07A 156.350;Ch05A 156.250;Ch13 Bridge 156.650;Ch16 Distress 156.800;Ch01A 156.050;Legacy Telephone1-2 161.900/161.875;Port of Seattle P25(police/fire/maintenance, see FL15)","FM + P25 Phase II","Mostly clear","None (P25 native)","https://www.radioreference.com/db/sid/11481","Port of Tacoma/Olympia less documented; marine VHF most reliable option"
