# Headline table. 20 m single-band columns plus the three-band
# aggregate the ranking is built on.
# aggregate_dB = 10*log10(mean linear power). NOTE: this metric
# rewards concentrating power into a few bearings, so a spiky
# straight wire can score near a broad one. Read it alongside
# n_workable and n_holes, which capture spread.
# mb3_* columns aggregate 40m + 20m + 15m on the ABSOLUTE (dBi)
# scale over 75 band x region cells. mb3_regions_covered counts
# regions reachable on at least ONE of the three - that is the
# primary sort key, then mb3_workable, then mb3_aggregate_dBi.
# takeoff 'slant' = slope > 30 deg, modelled as a slant radiator
# (METHOD.md s9, LOW confidence) - not a horizontal-wire lobe.
# 'zenith' = h < lambda/4, so no distinct lobe exists.
# mean_imax_height_ft = mean height of the four 20 m current maxima.
# That column is pure arithmetic and HIGH confidence; prefer it.
# n_anchors / max_anchor_ft / throw_class describe DEPLOYMENT
# effort, not performance. A sloper needs one anchor but puts
# it very high; fewer anchors is not automatically less work.
# in_parcel is false when any support falls outside the lot or
# inside the 5 m setback - see the parcel block in stdout.
mb3_rank,key,avg_height_ft,mean_imax_height_ft,slope_deg,takeoff_20m_deg,takeoff_15m_deg,legs_true_deg,n_anchors,max_anchor_ft,throw_class,in_parcel,aggregate_dB,median_dB,worst_dB,n_workable,n_holes,delta_vs_A_dB,mb3_aggregate_dBi,mb3_median_dBi,mb3_worst_dBi,mb3_workable_of_75,mb3_holes,mb3_regions_covered,label
4,T30,56.5,56.5,30,~67,~12,176,1,89,hard,no,-4.49,-3.9,-50.7,21,3,+1.0,-0.63,-2.9,-45.4,49,15,24,"Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
5,T45,69.9,69.9,45,~14,~56,143,1,116,very hard,no,-7.41,-9.8,-66.2,16,9,-1.9,-2.62,-4.0,-60.9,49,21,24,"Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
7,T60,80.3,80.3,60,~60,~60,337,1,137,climb,yes,-9.55,-9.5,-46.5,14,10,-4.0,-4.15,-4.2,-67.6,44,23,25,"Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
19,T75,86.7,86.7,75,~24,~32,105,1,149,climb,yes,-10.96,-17.7,-65.4,7,14,-5.5,-5.79,-6.8,-85.8,26,31,20,"Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
14,T-APEX,83.4,83.4,66,~56,~57,82,1,143,climb,yes,-10.19,-11.2,-63.7,12,10,-4.7,-4.78,-5.4,-58.4,37,26,24,"Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
18,K-BACK,85.8,85.8,72,~53,~54,155,1,148,climb,yes,-10.68,-18.4,-92.7,8,15,-5.2,-5.61,-7.1,-87.4,26,30,23,"Sloper to the BACKYARD-corner tree"
22,K-FRONT,87.9,87.9,80,~24,~52,326,1,152,climb,yes,-12.01,-17.0,-43.6,6,15,-6.5,-8.07,-11.0,-64.1,11,42,11,"Sloper to the FRONT-YARD-corner tree"
12,C-BACK,79.7,79.7,59,~61,~62,155,1,135,climb,yes,-9.71,-12.1,-60.6,12,8,-4.2,-4.53,-5.0,-62.9,39,25,25,"Sloper, rotation locked to the BACKYARD-corner bearing (155T)"
6,C-BACK-X,66.8,66.8,41,~15,~31,155,1,110,very hard,no,-5.95,-7.2,-50.2,18,4,-0.4,-2.02,-3.2,-48.9,48,18,24,"Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
8,C-FRONT,71.4,71.4,47,~14,~54,326,1,119,very hard,yes,-8.37,-9.6,-46.2,16,7,-2.9,-3.05,-4.0,-98.4,44,23,24,"Sloper, rotation locked to the FRONT-YARD-corner bearing (326T)"
2,G-FEED,72.1,72.1,48,~46,~9,50,1,120,very hard,yes,-7.33,-8.6,-54.7,19,6,-1.8,-2.45,-3.4,-67.1,49,19,25,"BEST single-support sloper, existing feed"
1,G-ROOF,72.8,72.8,47,~46,~9,50,1,121,very hard,yes,-7.30,-8.6,-52.1,19,6,-1.8,-2.41,-3.4,-74.0,49,19,25,"BEST single-support sloper, ROOF feed"
11,RF-APEX,81.7,81.7,61,~58,~58,61,1,138,climb,yes,-8.65,-7.8,-74.3,14,6,-3.1,-4.11,-3.9,-69.0,39,24,25,"Sloper to the APEX tree from a ROOF feed"
