band,frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm,s11_real,s11_imag,phase_deg
80m,3576250,3.576250,1.16570160,22.32543809,57.97715796,2.15519464,0.0742470104,0.0184777773,13.97523618
80m,3577588,3.577588,1.16796147,22.21683763,58.18689729,1.80203118,0.0759300266,0.0153919092,11.45925074
80m,3578925,3.578925,1.17045487,22.09882695,58.38941531,1.44546985,0.0775647395,0.0123014996,9.01185488
80m,3580263,3.580263,1.17189624,22.03145394,58.51679240,1.11206141,0.0785804013,0.0094425495,6.85204651
80m,3581600,3.581600,1.17582142,21.85102930,58.75866076,0.72538716,0.0805738962,0.0061322922,4.35225841
80m,3582938,3.582938,1.17783686,21.76007104,58.88338400,0.37283763,0.0815969909,0.0031447884,2.20711532
80m,3584275,3.584275,1.18217967,21.56781198,59.10898019,-0.00733838,0.0834851598,-0.0000616424,-0.04230509
80m,3585613,3.585613,1.18501941,21.44476020,59.24226248,-0.38530606,0.0846147479,-0.0032286359,-2.18516885
80m,3586950,3.586950,1.18793143,21.32068570,59.36481955,-0.74061565,0.0856711084,-0.0061918109,-4.13381895
80m,3588288,3.588288,1.19215213,21.14450980,59.53546782,-1.12660709,0.0871502690,-0.0093889496,-6.14892368
80m,3589625,3.589625,1.19564004,21.00206798,59.65343647,-1.51424721,0.0882097549,-0.0125912683,-8.12365700
80m,3590963,3.590963,1.20097372,20.78951155,59.84669201,-1.91809371,0.0899178038,-0.0158914475,-10.02256278
80m,3592300,3.592300,1.20418270,20.66457275,59.92762349,-2.27627255,0.0907004339,-0.0188288764,-11.72769075
80m,3593638,3.593638,1.20886021,20.48625042,60.05814720,-2.68248770,0.0919288421,-0.0221327523,-13.53687834
80m,3594975,3.594975,1.21335586,20.31893332,60.16708531,-3.08106289,0.0929972911,-0.0253663096,-15.25707529
80m,3596313,3.596313,1.21841148,20.13533289,60.28954187,-3.48553389,0.0942004116,-0.0286264238,-16.90342472
80m,3597650,3.597650,1.22385509,19.94279018,60.40977264,-3.91298057,0.0954192543,-0.0320588187,-18.57124204
80m,3598988,3.598988,1.22776984,19.80748215,60.46151990,-4.27737074,0.0960627767,-0.0350029099,-20.02049460
80m,3600325,3.600325,1.23394513,19.59916983,60.58790026,-4.71825843,0.0973849913,-0.0385102788,-21.57600634
80m,3601663,3.601663,1.23833502,19.45474457,60.63206683,-5.10113974,0.0980205881,-0.0415894158,-22.99115590
80m,3603000,3.603000,1.24441890,19.25938257,60.73350410,-5.52928776,0.0991770049,-0.0449810525,-24.39634313
80m,3604338,3.604338,1.25033518,19.07450644,60.80984496,-5.96145290,0.1001575477,-0.0484105758,-25.79653401
80m,3605675,3.605675,1.25414255,18.95808002,60.80525636,-6.31032438,0.1004332728,-0.0512300413,-27.02568868
80m,3607013,3.607013,1.26108019,18.75084102,60.88808543,-6.78256723,0.1015511935,-0.0549544111,-28.42002859
80m,3608350,3.608350,1.26573484,18.61521173,60.89460970,-7.15347264,0.1019797085,-0.0579285468,-29.59830490
80m,3609688,3.609688,1.27261935,18.41940044,60.96190883,-7.60566518,0.1030040550,-0.0614828178,-30.83285312
80m,3611025,3.611025,1.27804074,18.26906102,60.96834752,-8.00557771,0.1035080069,-0.0646755267,-31.99862475
80m,3612363,3.612363,1.28326942,18.12714934,60.96561034,-8.38816712,0.1039401858,-0.0677353952,-33.09134953
80m,3613700,3.613700,1.29007443,17.94680311,60.99454901,-8.83367409,0.1047255419,-0.0712518124,-34.23008207
80m,3615038,3.615038,1.29556606,17.80470458,60.97114794,-9.23019172,0.1050563838,-0.0744382779,-35.31968864
80m,3616375,3.616375,1.30295988,17.61802515,60.99395596,-9.69347504,0.1058696770,-0.0780874048,-36.41176031
80m,3617713,3.617713,1.30833181,17.48559814,60.96258294,-10.06532435,0.1061500469,-0.0810803918,-37.37360903
80m,3619050,3.619050,1.31445012,17.33792122,60.92594410,-10.47759452,0.1064696240,-0.0843990921,-38.40406770
80m,3620388,3.620388,1.32094177,17.18476003,60.89364427,-10.89701572,0.1068593217,-0.0877648856,-39.39668592
80m,3621725,3.621725,1.32764515,17.03026062,60.86032723,-11.31843239,0.1072695740,-0.0911444989,-40.35379366
80m,3623063,3.623063,1.33541706,16.85558590,60.85159570,-11.77159571,0.1079524664,-0.0947286582,-41.26706210
80m,3624400,3.624400,1.34053281,16.74311547,60.75571818,-12.12838610,0.1078107722,-0.0976998353,-42.18337035
80m,3625738,3.625738,1.34806938,16.58090214,60.71335786,-12.57148989,0.1082642880,-0.1012564943,-43.08435529
80m,3627075,3.627075,1.35406753,16.45465640,60.63226741,-12.94724493,0.1083169944,-0.1043532646,-43.93224987
80m,3628413,3.628413,1.36148855,16.30182587,60.56887534,-13.37778508,0.1086347832,-0.1078467359,-44.79142985
80m,3629750,3.629750,1.36920764,16.14664896,60.49362030,-13.82071870,0.1089118096,-0.1114587356,-45.66216479
80m,3631088,3.631088,1.37442596,16.04385362,60.37758494,-14.15057505,0.1086685483,-0.1142700541,-46.43929821
80m,3632425,3.632425,1.38273595,15.88353324,60.29333230,-14.60892081,0.1089596186,-0.1180228950,-47.28657161
80m,3633763,3.633763,1.38849001,15.77487148,60.16749677,-14.95402528,0.1087132815,-0.1209823633,-48.05752075
80m,3635100,3.635100,1.39663074,15.62429513,60.08370238,-15.38535632,0.1090041467,-0.1245260505,-48.80264915
80m,3636438,3.636438,1.40357526,15.49866386,59.95460801,-15.77234706,0.1088698926,-0.1278274152,-49.57914972
80m,3637775,3.637775,1.40981636,15.38789320,59.82758760,-16.11761005,0.1086780579,-0.1308048351,-50.27879796
80m,3639113,3.639113,1.41769312,15.25087710,59.69221279,-16.53361129,0.1086095082,-0.1343568839,-51.04911123
80m,3640450,3.640450,1.42445398,15.13566665,59.54190186,-16.89636782,0.1083218946,-0.1375375175,-51.77671408
80m,3641788,3.641788,1.43281959,14.99605982,59.41472908,-17.31384804,0.1083726826,-0.1410916063,-52.47207750
80m,3643125,3.643125,1.43929456,14.89016843,59.26024025,-17.65012015,0.1080306561,-0.1440905315,-53.13958131
80m,3644463,3.644463,1.44629063,14.77780574,59.08978262,-18.00700183,0.1076378342,-0.1472985532,-53.84268080
80m,3645800,3.645800,1.45393735,14.65735101,58.92111992,-18.38322876,0.1073322352,-0.1506605490,-54.53350955
80m,3647138,3.647138,1.46156218,14.53961182,58.75853025,-18.74900085,0.1070686387,-0.1539334047,-55.17939105
80m,3648475,3.648475,1.47028321,14.40774542,58.58610104,-19.15509031,0.1068649290,-0.1575531563,-55.85179638
80m,3649813,3.649813,1.47633543,14.31793171,58.39619490,-19.44850706,0.1062303911,-0.1603606526,-56.47764766
80m,3651150,3.651150,1.48484252,14.19396333,58.20331178,-19.83500500,0.1058600334,-0.1639069120,-57.14341814
80m,3652488,3.652488,1.49182913,14.09408027,58.01120350,-20.15287271,0.1053163689,-0.1669312511,-57.75230936
80m,3653825,3.653825,1.50010692,13.97791431,57.81761328,-20.51511883,0.1049143402,-0.1703134406,-58.36662324
80m,3655163,3.655163,1.50848929,13.86260889,57.59578420,-20.87850427,0.1043212223,-0.1738026570,-59.02663871
80m,3656500,3.656500,1.51479841,13.77731963,57.40901200,-21.14942916,0.1037294403,-0.1764806357,-59.55440583
80m,3657838,3.657838,1.52378314,13.65801046,57.18481152,-21.52136202,0.1031875163,-0.1800686669,-60.18533413
80m,3659175,3.659175,1.53050653,13.57033456,56.95881138,-21.80065294,0.1023523298,-0.1829611330,-60.77642724
80m,3660513,3.660513,1.53962104,13.45360077,56.74102646,-22.16155225,0.1018679661,-0.1864700074,-61.35236184
80m,3661850,3.661850,1.54745780,13.35512696,56.51409881,-22.46878198,0.1011543859,-0.1896083839,-61.92047582
80m,3663188,3.663188,1.55397516,13.27452753,56.29424886,-22.72111326,0.1003233095,-0.1923119661,-62.45031920
80m,3664525,3.664525,1.56302900,13.16445516,56.04627286,-23.06049693,0.0995934120,-0.1957996523,-63.03985428
80m,3665863,3.665863,1.57015717,13.07930183,55.80723411,-23.32341324,0.0986808030,-0.1986805560,-63.58729500
80m,3667200,3.667200,1.57947570,12.96992424,55.56213052,-23.65756392,0.0979942231,-0.2021488125,-64.13761857
80m,3668538,3.668538,1.58688569,12.88447441,55.32015822,-23.91777889,0.0970800429,-0.2050494441,-64.66492583
80m,3669875,3.669875,1.59465636,12.79627558,55.07249904,-24.18445893,0.0961597288,-0.2080362428,-65.19239984
80m,3671213,3.671213,1.60287129,12.70456185,54.80428873,-24.45949898,0.0951267100,-0.2111816948,-65.75083608
80m,3672550,3.672550,1.61088941,12.61651764,54.54753237,-24.72157466,0.0941475842,-0.2142001597,-66.27302844
80m,3673888,3.673888,1.62041746,12.51372945,54.28117115,-25.02749512,0.0932811774,-0.2176126395,-66.79726837
80m,3675225,3.675225,1.62741104,12.43951733,54.02802995,-25.24283336,0.0921743379,-0.2202876659,-67.29424238
80m,3676563,3.676563,1.63636811,12.34595281,53.74704004,-25.51507370,0.0910917059,-0.2235327591,-67.82864130
80m,3677900,3.677900,1.64406860,12.26681185,53.49067224,-25.74183549,0.0900288044,-0.2263424163,-68.30956849
80m,3679238,3.679238,1.65291234,12.17736043,53.20475051,-25.99650760,0.0888638143,-0.2295084156,-68.83399708
80m,3680575,3.680575,1.66228557,12.08418694,52.90298023,-26.25909419,0.0876233357,-0.2328230408,-69.37608896
80m,3681913,3.681913,1.66913167,12.01716830,52.67272697,-26.44461818,0.0866233802,-0.2352513338,-69.78546969
80m,3683250,3.683250,1.67880519,11.92391955,52.36001402,-26.70177742,0.0853001287,-0.2386098967,-70.32864945
80m,3684588,3.684588,1.68599745,11.85566186,52.09723651,-26.88244480,0.0840431454,-0.2411736147,-70.78779533
80m,3685925,3.685925,1.69592038,11.76295011,51.80333676,-27.13712855,0.0828811718,-0.2444710785,-71.27218999
80m,3687263,3.687263,1.70412910,11.68750259,51.50819172,-27.33153320,0.0814507804,-0.2473234728,-71.77178932
80m,3688600,3.688600,1.71159676,11.61982292,51.25477507,-27.50641526,0.0802656213,-0.2498508908,-72.19017231
80m,3689938,3.689938,1.72132183,11.53301658,50.94046135,-27.73095783,0.0788408454,-0.2530662663,-72.69597954
80m,3691275,3.691275,1.72854225,11.46951880,50.66933537,-27.88349828,0.0774272504,-0.2555351695,-73.14317215
80m,3692613,3.692613,1.73884567,11.38027654,50.36483251,-28.11482287,0.0761316661,-0.2587997600,-73.60758874
80m,3693950,3.693950,1.74689021,11.31169070,50.08006765,-28.27741306,0.0746720361,-0.2614494741,-74.06023950
80m,3695288,3.695288,1.75468309,11.24614050,49.79834713,-28.42803314,0.0731833636,-0.2640081205,-74.50656344
80m,3696625,3.696625,1.76385238,11.17010811,49.49523258,-28.60733566,0.0716720067,-0.2669172162,-74.96961127
80m,3697963,3.697963,1.77240268,11.10025079,49.20276980,-28.76574480,0.0701475910,-0.2696285311,-75.41699182
80m,3699300,3.699300,1.78254253,11.01867720,48.88689135,-28.95666743,0.0686078432,-0.2727359771,-75.87998369
80m,3700638,3.700638,1.78973994,10.96159236,48.62835091,-29.07610320,0.0671652522,-0.2750040850,-76.27512874
80m,3701975,3.701975,1.79936609,10.88627953,48.31553997,-29.24118599,0.0655297844,-0.2779318243,-76.73329595
80m,3703313,3.703313,1.80755546,10.82311974,48.02819968,-29.36858696,0.0639055759,-0.2804475710,-77.16320008
80m,3704650,3.704650,1.81697320,10.75149813,47.71635380,-29.51591025,0.0621938201,-0.2832709364,-77.61685125
80m,3705988,3.705988,1.82697605,10.67658391,47.39757620,-29.67053781,0.0604700973,-0.2862120249,-78.07014737
80m,3707325,3.707325,1.83417470,10.62339203,47.14557541,-29.76834585,0.0589785031,-0.2883574806,-78.44057655
80m,3708663,3.708663,1.84439008,10.54892066,46.80959340,-29.90972439,0.0570514650,-0.2913278510,-78.91984607
80m,3710000,3.710000,1.85201753,10.49407319,46.54611657,-30.00504873,0.0554562814,-0.2935496663,-79.30197950
80m,3711338,3.711338,1.86261124,10.41894521,46.22555119,-30.15112362,0.0536848783,-0.2965165059,-79.73765872
80m,3712675,3.712675,1.87177977,10.35488691,45.92149291,-30.25958478,0.0518382919,-0.2991089768,-80.16778692
80m,3714013,3.714013,1.88072796,10.29320931,45.64037097,-30.36745695,0.0501750628,-0.3015856964,-80.55417063
80m,3715350,3.715350,1.88833233,10.24143384,45.36489475,-30.43707572,0.0483380018,-0.3037365938,-80.95752368
80m,3716688,3.716688,1.89675193,10.18477969,45.08503048,-30.52172745,0.0465504839,-0.3060516058,-81.35159097
80m,3718025,3.718025,1.90805092,10.10983605,44.74026213,-30.64394416,0.0444531171,-0.3090737208,-81.81545296
80m,3719363,3.719363,1.91702160,10.05120160,44.45338380,-30.72849321,0.0426066466,-0.3114685147,-82.21069566
80m,3720700,3.720700,1.92651991,9.98993456,44.16506907,-30.82094311,0.0407949717,-0.3139550993,-82.59653203
80m,3722038,3.722038,1.93342841,9.94588956,43.92244810,-30.86638185,0.0390739444,-0.3157957567,-82.94654531
80m,3723375,3.723375,1.94307149,9.88512391,43.61064222,-30.93946605,0.0369476520,-0.3183006197,-83.37886081
80m,3724713,3.724713,1.95414723,9.81633486,43.28342129,-31.03434033,0.0348253886,-0.3211026885,-83.81014513
80m,3726050,3.726050,1.96299278,9.76215126,43.00872242,-31.09708869,0.0329372647,-0.3233334989,-84.18347041
80m,3727388,3.727388,1.97227191,9.70601598,42.72411176,-31.16003456,0.0309652525,-0.3256451386,-84.56813699
80m,3728725,3.728725,1.97895109,9.66604756,42.48894355,-31.18314538,0.0291498622,-0.3273273521,-84.91099721
80m,3730063,3.730063,1.99007974,9.60025194,42.16595977,-31.25886630,0.0269313219,-0.3300244883,-85.33477185
80m,3731400,3.731400,2.00082917,9.53762635,41.84624852,-31.32050276,0.0246458133,-0.3326056751,-85.76217365
80m,3732738,3.732738,2.00968378,9.48670976,41.58866051,-31.37025210,0.0228015662,-0.3347025827,-86.10275470
80m,3734075,3.734075,2.01849663,9.43662198,41.30609862,-31.39756271,0.0205951676,-0.3367893833,-86.50063618
80m,3735413,3.735413,2.02600575,9.39439909,41.07152523,-31.42125770,0.0187651815,-0.3385430519,-86.82738544
80m,3736750,3.736750,2.03764584,9.32975979,40.73630597,-31.47147902,0.0162519769,-0.3412085707,-87.27302728
80m,3738088,3.738088,2.04746042,9.27600906,40.45570471,-31.50963434,0.0141166002,-0.3434258295,-87.64616850
80m,3739425,3.739425,2.05717935,9.22344491,40.18458312,-31.54735019,0.0120541264,-0.3455920442,-88.00235363
80m,3740763,3.740763,2.06512751,9.18093887,39.93633099,-31.55458659,0.0099735930,-0.3473554418,-88.35532209
80m,3742100,3.742100,2.07348408,9.13670721,39.69089127,-31.56993747,0.0079666929,-0.3491818291,-88.69300558
80m,3743438,3.743438,2.08566015,9.07308387,39.35172866,-31.59977719,0.0052441564,-0.3518013975,-89.14597901
80m,3744775,3.744775,2.09517312,9.02404340,39.08843904,-31.61910011,0.0030966826,-0.3538190379,-89.49855068
80m,3746113,3.746113,2.10502614,8.97385417,38.82212266,-31.63939279,0.0009232841,-0.3558818422,-89.85135470
80m,3747450,3.747450,2.11244967,8.93643933,38.60510138,-31.63802785,-0.0009807398,-0.3574179819,-90.15721680
80m,3748788,3.748788,2.12199256,8.88883772,38.33406948,-31.63836414,-0.0033522703,-0.3593678484,-90.53445340
80m,3750125,3.750125,2.13366805,8.83134164,38.02024122,-31.64726799,-0.0060476633,-0.3617197541,-90.95785010
80m,3751463,3.751463,2.14309561,8.78550069,37.77099990,-31.65312052,-0.0082051744,-0.3635920740,-91.29277317
80m,3752800,3.752800,2.15307283,8.73754526,37.51315763,-31.65983212,-0.0104397994,-0.3655490818,-91.63587854
80m,3754138,3.754138,2.15986661,8.70521407,37.31247420,-31.63930545,-0.0123756101,-0.3668532069,-91.93211186
80m,3755475,3.755475,2.17064410,8.65445232,37.02193563,-31.62649918,-0.0150635761,-0.3689059215,-92.33826588
80m,3756813,3.756813,2.18219752,8.60074179,36.72585715,-31.62045310,-0.0177625072,-0.3710786227,-92.74049868
80m,3758150,3.758150,2.19179947,8.55664821,36.48776382,-31.61813075,-0.0199221813,-0.3728623733,-93.05842754
80m,3759488,3.759488,2.20143826,8.51287346,36.23592415,-31.59938254,-0.0223394604,-0.3746152895,-93.41268188
80m,3760825,3.760825,2.20853137,8.48096726,36.04434004,-31.57662768,-0.0242505800,-0.3758803798,-93.69142134
80m,3762163,3.762163,2.22019376,8.42906410,35.74546569,-31.54936557,-0.0271812171,-0.3779432004,-94.11356059
80m,3763500,3.763500,2.23083109,8.38231593,35.48424418,-31.53015412,-0.0297189250,-0.3798032809,-94.47417530
80m,3764838,3.764838,2.24093381,8.33843089,35.24211307,-31.51320529,-0.0320743114,-0.3815481395,-94.80519199
80m,3766175,3.766175,2.24931321,8.30240489,35.02322692,-31.47722178,-0.0343754473,-0.3829455378,-95.12945858
80m,3767513,3.767513,2.25809786,8.26499401,34.81236156,-31.45503470,-0.0365020757,-0.3844157639,-95.42423905
80m,3768850,3.768850,2.27006945,8.21459015,34.51755328,-31.41139824,-0.0395900150,-0.3863691589,-95.85049708
80m,3770188,3.770188,2.28018828,8.17249850,34.28445174,-31.38656648,-0.0419656852,-0.3880161117,-96.17280195
80m,3771525,3.771525,2.29012614,8.13160749,34.04748665,-31.34923550,-0.0444892512,-0.3895885626,-96.51469807
80m,3772863,3.772863,2.29866987,8.09680178,33.85290035,-31.32366045,-0.0465285911,-0.3909358663,-96.78732814
80m,3774200,3.774200,2.30838280,8.05761856,33.62051984,-31.27840840,-0.0490948515,-0.3924158481,-97.13117939
80m,3775538,3.775538,2.31990220,8.01167073,33.34714386,-31.22166500,-0.0521585066,-0.3941363663,-97.53850211
80m,3776875,3.776875,2.32983483,7.97249978,33.12875993,-31.18782121,-0.0545225430,-0.3956303517,-97.84661083
80m,3778213,3.778213,2.34020920,7.93202146,32.89648054,-31.14333481,-0.0571192898,-0.3971485853,-98.18435445
80m,3779550,3.779550,2.34793882,7.90214666,32.72501843,-31.10913769,-0.0590554973,-0.3982628703,-98.43451306
80m,3780888,3.780888,2.35876498,7.86070542,32.48020381,-31.05148850,-0.0619068293,-0.3997782035,-98.80250446
80m,3782225,3.782225,2.37002050,7.81810953,32.22943205,-30.99071454,-0.0648578846,-0.4013247557,-99.18016881
80m,3783563,3.783563,2.38066147,7.77828957,32.01566550,-30.95692753,-0.0672312912,-0.4028279420,-99.47523361
80m,3784900,3.784900,2.39011297,7.74328150,31.80006271,-30.89150307,-0.0699062961,-0.4040463117,-99.81588663
80m,3786238,3.786238,2.39821494,7.71353814,31.63224232,-30.85356730,-0.0718849107,-0.4051275855,-100.06170932
80m,3787575,3.787575,2.40955729,7.67230519,31.37852157,-30.77225925,-0.0750993165,-0.4065352165,-100.46626849
80m,3788913,3.788913,2.42047593,7.63305321,31.15109088,-30.71032145,-0.0779007878,-0.4079141675,-100.81179035
80m,3790250,3.790250,2.43094009,7.59583367,30.94534877,-30.66250428,-0.0803749335,-0.4092514458,-101.11118791
80m,3791588,3.791588,2.43979598,7.56463454,30.75608386,-30.59889087,-0.0828351660,-0.4102917513,-101.41420165
80m,3792925,3.792925,2.44920559,7.53178162,30.57469337,-30.55403972,-0.0850596815,-0.4114561932,-101.68013010
80m,3794263,3.794263,2.46065513,7.49221266,30.32998726,-30.46264667,-0.0883524807,-0.4127237935,-102.08303233
80m,3795600,3.795600,2.47130280,7.45580876,30.12263157,-30.40037280,-0.0910213641,-0.4139586475,-102.40087833
80m,3796938,3.796938,2.48217608,7.41901856,29.91922728,-30.34403987,-0.0936088834,-0.4152256308,-102.70443139
80m,3798275,3.798275,2.49146590,7.38788951,29.74282357,-30.28894253,-0.0959197348,-0.4162662969,-102.97609527
80m,3799613,3.799613,2.50127715,7.35531230,29.54983528,-30.21785178,-0.0985581561,-0.4172990103,-103.28866692
80m,3800950,3.800950,2.51186061,7.32051036,29.33184754,-30.12283661,-0.1016893245,-0.4183188536,-103.66304226
80m,3802288,3.802288,2.52268278,7.28528201,29.13610395,-30.06039493,-0.1043042740,-0.4194775954,-103.96357152
80m,3803625,3.803625,2.53293025,7.25225337,28.94447773,-29.98829554,-0.1069783772,-0.4205030635,-104.27357552
80m,3804963,3.804963,2.54244578,7.22186609,28.78375546,-29.94355686,-0.1090841391,-0.4215326343,-104.50871233
80m,3806300,3.806300,2.55237210,7.19045242,28.58700779,-29.85005312,-0.1120367410,-0.4223898672,-104.85533511
80m,3807638,3.807638,2.56366319,7.15506877,28.37256740,-29.75302736,-0.1152265466,-0.4233798516,-105.22479744
80m,3808975,3.808975,2.57435527,7.12189948,28.18968072,-29.68777674,-0.1177954196,-0.4244148404,-105.51187921
80m,3810313,3.810313,2.58425351,7.09148082,28.01276771,-29.61214374,-0.1204109325,-0.4252864058,-105.80835814
80m,3811650,3.811650,2.59383481,7.06229608,27.85891033,-29.56304035,-0.1225360165,-0.4262270999,-106.03941254
80m,3812988,3.812988,2.60416436,7.03111449,27.65945597,-29.45343768,-0.1257447265,-0.4269544736,-106.41052046
80m,3814325,3.814325,2.61492373,6.99894246,27.46696678,-29.35921014,-0.1287469609,-0.4277838748,-106.74983151
80m,3815663,3.815663,2.62659248,6.96439992,27.28261283,-29.29211618,-0.1314126113,-0.4288347462,-107.03721960
